"Site","name","label","Year","pointname","infestationname","Count","geometry","dotcolor"
"CBCT_1_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_1","Cold Bay Creeping Thistle",0,"c(-162.716314602359"," 55.2065345555445)"
"CBCT_10_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_10","Cold Bay Creeping Thistle",0,"c(-162.715017011087"," 55.204439316198)"
"CBCT_100_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_100","Cold Bay Creeping Thistle",0,"c(-162.716266824035"," 55.206943518561)"
"CBCT_101_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_101","Cold Bay Creeping Thistle",1,"c(-162.715364663815"," 55.2054361482022)"
"CBCT_102_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_102","Cold Bay Creeping Thistle",2,"c(-162.714252811762"," 55.2065873837149)"
"CBCT_103_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_103","Cold Bay Creeping Thistle",2,"c(-162.715043007031"," 55.2052469649565)"
"CBCT_104_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_104","Cold Bay Creeping Thistle",1,"c(-162.717682906819"," 55.2066318602794)"
"CBCT_105_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_105","Cold Bay Creeping Thistle",0,"c(-162.71519891477"," 55.2067380514523)"
"CBCT_106_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_106","Cold Bay Creeping Thistle",0,"c(-162.714130232462"," 55.2062329461834)"
"CBCT_107_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_107","Cold Bay Creeping Thistle",0,"c(-162.716375946706"," 55.206558263534)"
"CBCT_108_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_108","Cold Bay Creeping Thistle",0,"c(-162.714496458338"," 55.2048689045627)"
"CBCT_109_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_109","Cold Bay Creeping Thistle",1,"c(-162.714317776361"," 55.2054534839482)"
"CBCT_11_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_11","Cold Bay Creeping Thistle",0,"c(-162.713916296158"," 55.2054676794341)"
"CBCT_110_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_110","Cold Bay Creeping Thistle",0,"c(-162.714871367296"," 55.2068184796405)"
"CBCT_112_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_112","Cold Bay Creeping Thistle",0,"c(-162.715102397372"," 55.204521762763)"
