pointname,infestationname,Year,Count,geometry,dotcolor,Notes
CBCT 1,Cold Bay Creeping Thistle,2023,0,c(-162.716314602359, 55.2065345555445),black
CBCT 10,Cold Bay Creeping Thistle,2023,0,c(-162.715017011087, 55.204439316198),black
CBCT 100,Cold Bay Creeping Thistle,2023,0,c(-162.716266824035, 55.206943518561),black
CBCT 101,Cold Bay Creeping Thistle,2023,1,c(-162.715364663815, 55.2054361482022),#FD0E35
CBCT 102,Cold Bay Creeping Thistle,2023,2,c(-162.714252811762, 55.2065873837149),#5FA777
CBCT 103,Cold Bay Creeping Thistle,2023,2,c(-162.715043007031, 55.2052469649565),black
CBCT 104,Cold Bay Creeping Thistle,2023,1,c(-162.717682906819, 55.2066318602794),#FD0E35
CBCT 105,Cold Bay Creeping Thistle,2023,0,c(-162.71519891477, 55.2067380514523),black
CBCT 106,Cold Bay Creeping Thistle,2023,0,c(-162.714130232462, 55.2062329461834),gray
CBCT 107,Cold Bay Creeping Thistle,2023,0,c(-162.716375946706, 55.206558263534),black
CBCT 108,Cold Bay Creeping Thistle,2023,0,c(-162.714496458338, 55.2048689045627),black
CBCT 109,Cold Bay Creeping Thistle,2023,1,c(-162.714317776361, 55.2054534839482),black
CBCT 11,Cold Bay Creeping Thistle,2023,0,c(-162.713916296158, 55.2054676794341),#FD0E35
CBCT 110,Cold Bay Creeping Thistle,2023,0,c(-162.714871367296, 55.2068184796405),black
CBCT 111,Cold Bay Creeping Thistle,2023,NA,c(-162.713152343111, 55.2062838669907),gray
CBCT 112,Cold Bay Creeping Thistle,2023,0,c(-162.715102397372, 55.204521762763),black
CBCT 113,Cold Bay Creeping Thistle,2023,0,c(-162.713529570326, 55.2062652044811),gray
CBCT 114,Cold Bay Creeping Thistle,2023,2,c(-162.599032585746, 55.1472980208469),#5FA777
CBCT 115,Cold Bay Creeping Thistle,2023,2,c(-162.713159234649, 55.2062993343704),#5FA777
CBCT 116,Cold Bay Creeping Thistle,2023,0,c(-162.714045765466, 55.2061674231526),black
CBCT 117,Cold Bay Creeping Thistle,2023,0,c(-162.714106534519, 55.2048923131574),black
CBCT 118,Cold Bay Creeping Thistle,2023,1,c(-162.714735081156, 55.2053053079834),#FD0E35
CBCT 119,Cold Bay Creeping Thistle,2023,0,c(-162.715437645278, 55.2062173670506),black
CBCT 12,Cold Bay Creeping Thistle,2023,0,c(-162.713319974413, 55.2064849045438),gray
CBCT 120,Cold Bay Creeping Thistle,2023,0,c(-162.713985857592, 55.2044694414273),black
CBCT 13,Cold Bay Creeping Thistle,2023,0,c(-162.71425458432, 55.2047286756872),black
CBCT 14,Cold Bay Creeping Thistle,2023,0,c(-162.715056262885, 55.2045210297036),black
