"Site","Year","Latitude","Longitude","Sample"
"CoveIsland",2025,"55.235739941064","-162.92239713164","CoveIsland _ 1 _ 2025"
"CoveIsland",2025,"55.235535379062","-162.92297281884","CoveIsland _ 2 _ 2025"
"CoveIsland",2025,"55.2364494157079","-162.92309573004","CoveIsland _ 3 _ 2025"
"CoveIsland",2025,"55.2363841227528","-162.9231186263","CoveIsland _ 4 _ 2025"
"CoveIsland",2025,"55.235905832385","-162.92232058075","CoveIsland _ 5 _ 2025"
"CoveIsland",2025,"55.2357599145711","-162.92295673860","CoveIsland _ 6 _ 2025"
"CoveIsland",2025,"55.2357274208066","-162.92199136297","CoveIsland _ 7 _ 2025"
"CoveIsland",2025,"55.2367838970128","-162.92285791574","CoveIsland _ 8 _ 2025"
"CoveIsland",2025,"55.2362469659038","-162.92291340618","CoveIsland _ 9 _ 2025"
"CoveIsland",2025,"55.2359751075361","-162.92317517113","CoveIsland _ 10 _ 2025"
"CoveIsland",2025,"55.236104812302","-162.92267364964","CoveIsland _ 11 _ 2025"
"CoveIsland",2025,"55.2362198792377","-162.9231533958","CoveIsland _ 12 _ 2025"
"CoveIsland",2025,"55.2361792120402","-162.92339419054","CoveIsland _ 13 _ 2025"
"CoveIsland",2025,"55.2366000703634","-162.92349256031","CoveIsland _ 14 _ 2025"
"CoveIsland",2025,"55.2357459423129","-162.92233516574","CoveIsland _ 15 _ 2025"
"CoveIsland",2025,"55.2358274625766","-162.92221851979","CoveIsland _ 16 _ 2025"
"CoveIsland",2025,"55.2359299093442","-162.92248413554","CoveIsland _ 17 _ 2025"
"CoveIsland",2025,"55.2356338267132","-162.92333354218","CoveIsland _ 18 _ 2025"
"CoveIsland",2025,"55.2355639871431","-162.92190408454","CoveIsland _ 19 _ 2025"
"CoveIsland",2025,"55.2361582388653","-162.92238626545","CoveIsland _ 20 _ 2025"
"CoveIsland",2025,"55.2358057610014","-162.9235620063","CoveIsland _ 21 _ 2025"
"CoveIsland",2025,"55.2366215194339","-162.9233576024","CoveIsland _ 22 _ 2025"
"CoveIsland",2025,"55.2360865853993","-162.9239103927","CoveIsland _ 23 _ 2025"
"CoveIsland",2025,"55.2363018860997","-162.92314587756","CoveIsland _ 24 _ 2025"
"CoveIsland",2025,"55.2365101944321","-162.923033895","CoveIsland _ 25 _ 2025"
"CoveIsland",2025,"55.2365099936115","-162.92275120944","CoveIsland _ 26 _ 2025"
"CoveIsland",2025,"55.2362743455547","-162.92402663479","CoveIsland _ 27 _ 2025"
"CoveIsland",2025,"55.2362194721305","-162.92386139426","CoveIsland _ 28 _ 2025"
"CoveIsland",2025,"55.235625062446","-162.92195034356","CoveIsland _ 29 _ 2025"
"CoveIsland",2025,"55.2364847079142","-162.92337335869","CoveIsland _ 30 _ 2025"
"CoveIsland",2025,"55.236713493197","-162.92258761468","CoveIsland _ 31 _ 2025"
"CoveIsland",2025,"55.2355781488969","-162.92303609385","CoveIsland _ 32 _ 2025"
"CoveIsland",2025,"55.2364097891545","-162.92302177746","CoveIsland _ 33 _ 2025"
"CoveIsland",2025,"55.2357206928761","-162.92238435775","CoveIsland _ 34 _ 2025"
"CoveIsland",2025,"55.2363796008006","-162.92306460611","CoveIsland _ 35 _ 2025"
"CoveIsland",2025,"55.2360316047402","-162.92337531536","CoveIsland _ 36 _ 2025"
"CoveIsland",2025,"55.2356000471435","-162.92328902100","CoveIsland _ 37 _ 2025"
"CoveIsland",2025,"55.2364036400266","-162.92290041710","CoveIsland _ 38 _ 2025"
"CoveIsland",2025,"55.2363562874661","-162.9224642224","CoveIsland _ 39 _ 2025"
"CoveIsland",2025,"55.236425605545","-162.92287976420","CoveIsland _ 40 _ 2025"
"BirdsallIsland",2025,"55.2868865450891","-162.84062919109","BirdsallIsland _ 1 _ 2025"
"BirdsallIsland",2025,"55.2869097708803","-162.84091290851","BirdsallIsland _ 2 _ 2025"
"BirdsallIsland",2025,"55.2871255563429","-162.8409836895","BirdsallIsland _ 3 _ 2025"
"BirdsallIsland",2025,"55.2871363707368","-162.84097881403","BirdsallIsland _ 4 _ 2025"
"BirdsallIsland",2025,"55.2867356317419","-162.84070580664","BirdsallIsland _ 5 _ 2025"
"BirdsallIsland",2025,"55.2866264672286","-162.84094690611","BirdsallIsland _ 6 _ 2025"
"BirdsallIsland",2025,"55.2868001871431","-162.84032899150","BirdsallIsland _ 7 _ 2025"
"BirdsallIsland",2025,"55.2868243438615","-162.84071429768","BirdsallIsland _ 8 _ 2025"
"BirdsallIsland",2025,"55.2867017701141","-162.84092279131","BirdsallIsland _ 9 _ 2025"
"BirdsallIsland",2025,"55.2869106564558","-162.84110315210","BirdsallIsland _ 10 _ 2025"
"BirdsallIsland",2025,"55.2871480601186","-162.84115824551","BirdsallIsland _ 11 _ 2025"
"BirdsallIsland",2025,"55.2867591909945","-162.8413956333","BirdsallIsland _ 12 _ 2025"
"BirdsallIsland",2025,"55.2871697465214","-162.84118806871","BirdsallIsland _ 13 _ 2025"
"BirdsallIsland",2025,"55.2870921138845","-162.84118165371","BirdsallIsland _ 14 _ 2025"
"BirdsallIsland",2025,"55.2867832583601","-162.84054732809","BirdsallIsland _ 15 _ 2025"
"BirdsallIsland",2025,"55.2869796735903","-162.84133073445","BirdsallIsland _ 16 _ 2025"
"BirdsallIsland",2025,"55.286625836145","-162.8411706161","BirdsallIsland _ 17 _ 2025"
"BirdsallIsland",2025,"55.2871113881346","-162.84107620601","BirdsallIsland _ 18 _ 2025"
"BirdsallIsland",2025,"55.2868338105522","-162.8413672772","BirdsallIsland _ 19 _ 2025"
"BirdsallIsland",2025,"55.2871137286298","-162.84100540828","BirdsallIsland _ 20 _ 2025"
"BirdsallIsland",2025,"55.2868821477096","-162.84071825352","BirdsallIsland _ 21 _ 2025"
"BirdsallIsland",2025,"55.2869686038325","-162.84143657773","BirdsallIsland _ 22 _ 2025"
"BirdsallIsland",2025,"55.2871085867414","-162.84110079080","BirdsallIsland _ 23 _ 2025"
"BirdsallIsland",2025,"55.2867525511962","-162.84034565739","BirdsallIsland _ 24 _ 2025"
"BirdsallIsland",2025,"55.2867694005191","-162.84049712823","BirdsallIsland _ 25 _ 2025"
"BirdsallIsland",2025,"55.2867105846489","-162.84056693159","BirdsallIsland _ 26 _ 2025"
"BirdsallIsland",2025,"55.2870180582572","-162.84101520189","BirdsallIsland _ 27 _ 2025"
"BirdsallIsland",2025,"55.2870755117838","-162.84091796904","BirdsallIsland _ 28 _ 2025"
"BirdsallIsland",2025,"55.2869084983121","-162.84144472394","BirdsallIsland _ 29 _ 2025"
"BirdsallIsland",2025,"55.2870266038657","-162.84136697479","BirdsallIsland _ 30 _ 2025"
"BirdsallIsland",2025,"55.286645924612","-162.8410494096","BirdsallIsland _ 31 _ 2025"
"BirdsallIsland",2025,"55.287046437442","-162.84115177472","BirdsallIsland _ 32 _ 2025"
"BirdsallIsland",2025,"55.2867079660677","-162.84075523398","BirdsallIsland _ 33 _ 2025"
"BirdsallIsland",2025,"55.2868347202793","-162.84135613419","BirdsallIsland _ 34 _ 2025"
"BirdsallIsland",2025,"55.2868304763997","-162.84060402355","BirdsallIsland _ 35 _ 2025"
"BirdsallIsland",2025,"55.2868296466472","-162.84057099878","BirdsallIsland _ 36 _ 2025"
"BirdsallIsland",2025,"55.2868706229723","-162.84113491017","BirdsallIsland _ 37 _ 2025"
"BirdsallIsland",2025,"55.2866980829826","-162.8412816211","BirdsallIsland _ 38 _ 2025"
"BirdsallIsland",2025,"55.2867606723541","-162.84026442001","BirdsallIsland _ 39 _ 2025"
"BirdsallIsland",2025,"55.2870426487837","-162.84081991033","BirdsallIsland _ 40 _ 2025"
