"Site","Year","Latitude","Longitude"
"UGOH _ 1 _ 2025",2025,"57.5680064573309","-157.01692332309"
"UGOH _ 2 _ 2025",2025,"57.5680921516845","-157.01724881144"
"UGOH _ 3 _ 2025",2025,"57.5671229137122","-157.02131847250"
"UGOH _ 4 _ 2025",2025,"57.5680135912192","-157.01781244801"
"UGOH _ 5 _ 2025",2025,"57.567450363489","-157.02125234158"
"UGOH _ 6 _ 2025",2025,"57.5682401235821","-157.02112383136"
"UGOH _ 7 _ 2025",2025,"57.5694971119815","-157.0143861466"
"UGOH _ 8 _ 2025",2025,"57.5707373696758","-157.01297633841"
"UGOH _ 9 _ 2025",2025,"57.5678666183721","-157.01628674368"
"UGOH _ 10 _ 2025",2025,"57.5670468286129","-157.02132918736"
"UGOH _ 11 _ 2025",2025,"57.56786500175","-157.01627516844"
"UGOH _ 12 _ 2025",2025,"57.569876199751","-157.01475548647"
"UGOH _ 13 _ 2025",2025,"57.5674027503089","-157.02122339739"
"UGOH _ 14 _ 2025",2025,"57.5707931269546","-157.01267749130"
"UGOH _ 15 _ 2025",2025,"57.5694790932637","-157.01502969448"
"UGOH _ 16 _ 2025",2025,"57.5676679703608","-157.01854992928"
"UGOH _ 17 _ 2025",2025,"57.567298221627","-157.01943149213"
"UGOH _ 18 _ 2025",2025,"57.5695055637604","-157.01522293628"
"UGOH _ 19 _ 2025",2025,"57.569058747404","-157.01421880014"
"UGOH _ 20 _ 2025",2025,"57.5677654251312","-157.01547634463"
"UGOH _ 21 _ 2025",2025,"57.5678158326973","-157.01498600216"
"UGOH _ 22 _ 2025",2025,"57.56797890482","-157.01483435295"
"UGOH _ 23 _ 2025",2025,"57.5684473858673","-157.01432266667"
"UGOH _ 24 _ 2025",2025,"57.5702204259298","-157.01372335061"
"UGOH _ 25 _ 2025",2025,"57.5702704692381","-157.01356403863"
"UGOH _ 26 _ 2025",2025,"57.5707800973208","-157.01277292258"
"UGOH _ 27 _ 2025",2025,"57.5680399445011","-157.01717838433"
"UGOH _ 28 _ 2025",2025,"57.5679986787724","-157.01800093563"
"UGOH _ 29 _ 2025",2025,"57.5693213193644","-157.01425537387"
"UGOH _ 30 _ 2025",2025,"57.5670936690522","-157.02116378852"
"UGOH _ 31 _ 2025",2025,"57.5695614752515","-157.01461507950"
"UGOH _ 32 _ 2025",2025,"57.5678607610532","-157.01623594049"
"UGOH _ 33 _ 2025",2025,"57.56942776366","-157.01570577902"
"UGOH _ 34 _ 2025",2025,"57.5681843602853","-157.02101971426"
"UGOH _ 35 _ 2025",2025,"57.5682429745409","-157.01446215334"
"UGOH _ 36 _ 2025",2025,"57.5698280288908","-157.01491177689"
"UGOH _ 37 _ 2025",2025,"57.5666353180393","-157.02050408290"
"UGOH _ 38 _ 2025",2025,"57.5693066797472","-157.01427835018"
"UGOH _ 39 _ 2025",2025,"57.5678287502816","-157.0149699630"
"UGOH _ 40 _ 2025",2025,"57.5682743762814","-157.02114178482"
"UGOH _ 41 _ 2025",2025,"57.5683833641008","-157.01436623318"
"UGOH _ 42 _ 2025",2025,"57.5694788994344","-157.01447168341"
"UGOH _ 43 _ 2025",2025,"57.5677385223544","-157.01841985463"
"UGOH _ 44 _ 2025",2025,"57.5679660994504","-157.02120306138"
"UGOH _ 45 _ 2025",2025,"57.5670423074366","-157.02126061543"
"UGOH _ 46 _ 2025",2025,"57.5679962442856","-157.01787199385"
"UGOH _ 47 _ 2025",2025,"57.5699448441074","-157.01386108252"
"UGOH _ 48 _ 2025",2025,"57.5685874514753","-157.02081024045"
"UGOH _ 49 _ 2025",2025,"57.5671414924963","-157.02118282311"
"UGOH _ 50 _ 2025",2025,"57.5698084956928","-157.01391238212"
"UGOH _ 51 _ 2025",2025,"57.5679951841871","-157.01785003377"
"UGOH _ 52 _ 2025",2025,"57.5679933021254","-157.01788611025"
"UGOH _ 53 _ 2025",2025,"57.5694192454055","-157.01410217360"
"UGOH _ 54 _ 2025",2025,"57.569388851385","-157.01448697024"
"UGOH _ 55 _ 2025",2025,"57.5671468248329","-157.02127137535"
"UGOH _ 56 _ 2025",2025,"57.5678476757626","-157.01491668521"
"UGOH _ 57 _ 2025",2025,"57.5694378463532","-157.01454619943"
"UGOH _ 58 _ 2025",2025,"57.5696364733228","-157.01407364004"
